date,hippodrome,temperature,precipitation,vent_kmh,terrain_lourd
2026-01-17,VINCENNES,8.3,0.0,8.8,0
2026-01-17,LYON LA SOIE,7.7,0.5,7.3,0
2026-01-18,PAU,11.8,0.0,4.0,0
2026-01-18,VINCENNES,10.0,0.0,5.4,0
2026-01-19,VINCENNES,3.8,0.0,8.4,0
2026-01-19,CAGNES/MER,13.7,0.0,15.3,0
2026-01-19,LYON LA SOIE,3.8,0.0,0.7,0
2026-01-20,CAGNES/MER,13.9,0.0,9.8,0
2026-01-20,PAU,11.1,0.0,6.6,0
2026-01-20,VINCENNES,8.8,0.0,15.3,0
2026-01-21,CHANTILLY,12.1,0.0,19.6,0
2026-01-21,CAGNES/MER,11.4,0.0,8.5,0
2026-01-21,MAUQUENCHY,7.2,1.1,25.4,0
2026-01-21,LYON LA SOIE,8.2,0.0,17.2,0
2026-01-22,VINCENNES,11.1,0.1,14.5,0
2026-01-22,DEAUVILLE,10.6,0.0,24.5,0
2026-01-23,CAGNES/MER,9.6,0.3,9.6,0
2026-01-23,PAU,12.7,0.0,20.2,0
2026-01-23,DEAUVILLE,8.6,0.0,32.3,0
2026-01-24,VINCENNES,4.9,0.0,8.1,0
2026-01-24,CAGNES/MER,8.6,0.0,9.2,0
2026-01-25,VINCENNES,7.2,0.1,15.5,0
2026-01-25,NANTES,7.6,0.0,16.3,0
2026-01-25,CAGNES/MER,10.1,0.0,3.7,0
2026-01-25,LYON LA SOIE,7.1,0.0,12.6,0
2026-01-26,MAUQUENCHY,6.2,0.0,11.6,0
2026-01-26,CASABLANCA,14.2,0.0,11.3,0
2026-01-26,CAGNES/MER,9.9,0.0,3.8,0
2026-01-27,VINCENNES,8.8,0.5,12.4,0
2026-01-27,CAGNES/MER,7.6,0.0,9.9,0
2026-01-28,PAU,10.1,0.0,6.7,0
2026-01-28,CAGNES/MER,9.7,0.7,4.4,0
2026-01-29,LYON LA SOIE,5.5,0.0,2.9,0
2026-01-29,VINCENNES,3.6,0.0,9.1,0
2026-01-29,DEAUVILLE,7.2,0.0,23.6,0
2026-01-30,PAU,15.6,0.0,14.4,0
