date,hippodrome,temperature,precipitation,vent_kmh,terrain_lourd,date_str,hippo_str
2025-11-07,LYON-PARILLY,12.6,0.0,2.4,0,2025-11-07,LYON-PARILLY
2025-11-07,VINCENNES,12.3,0.0,8.1,0,2025-11-07,VINCENNES
2025-11-07,DEAUVILLE,15.1,0.1,25.1,0,2025-11-07,DEAUVILLE
2025-11-07,LAVAL,15.6,0.0,17.1,0,2025-11-07,LAVAL
2025-11-08,CHANTILLY,10.0,0.0,6.5,0,2025-11-08,CHANTILLY
2025-11-08,VINCENNES,11.1,0.1,4.2,0,2025-11-08,VINCENNES
2025-11-08,LE CROISE LAROCHE,12.6,0.0,9.9,0,2025-11-08,LE CROISE LAROCHE
2025-11-08,LYON LA SOIE,14.1,0.0,6.4,0,2025-11-08,LYON LA SOIE
2025-11-09,SAINT-CLOUD,11.5,0.0,9.2,0,2025-11-09,SAINT-CLOUD
2025-11-09,MAUQUENCHY,10.2,0.0,11.7,0,2025-11-09,MAUQUENCHY
2025-11-09,LYON-PARILLY,12.5,0.0,10.4,0,2025-11-09,LYON-PARILLY
2025-11-10,VINCENNES,7.2,0.0,11.3,0,2025-11-10,VINCENNES
2025-11-10,CASABLANCA,19.1,0.0,2.5,0,2025-11-10,CASABLANCA
2025-11-10,CHANTILLY,10.8,0.2,15.4,0,2025-11-10,CHANTILLY
2025-11-10,AMIENS,10.7,3.3,19.2,1,2025-11-10,AMIENS
2025-11-11,COMPIEGNE,10.2,0.0,18.5,0,2025-11-11,COMPIEGNE
2025-11-11,LYON LA SOIE,10.4,0.0,7.6,0,2025-11-11,LYON LA SOIE
2025-11-12,NANTES,13.2,0.0,18.6,0,2025-11-12,NANTES
2025-11-13,PAU,23.2,0.0,15.0,0,2025-11-13,PAU
2025-11-13,FONTAINEBLEAU,13.6,0.0,12.0,0,2025-11-13,FONTAINEBLEAU
2025-11-13,VINCENNES,15.9,0.0,8.2,0,2025-11-13,VINCENNES
2025-11-13,AMIENS,14.6,0.0,8.9,0,2025-11-13,AMIENS
